intervention_id,building_type,intervention_category,intervention_subcategory,intervention_name,intervention_description,capital_cost,capital_cost_unit,energy_reductions_per_area,energy_reductions_per_area_unit,lifespan
sing_fam_newbuild_1,Single Family Home,residential_intervention,New Build,Efficient lightbulbs and appliances,"Procurement and installation of energy-efficient lighting fixtures and appliances is recommended. The suggested ratings for optimal efficiency are as follows:

- Ovens with an A rating.
- Wet appliances with an A+ rating.
- Cold appliances with an A++ rating.",14,USD per m2,0.18,GJ per m2,20
sing_fam_newbuild_2,Single Family Home,residential_intervention,New Build,Heat Pump,Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1,42.44,USD per m2,0.12,GJ per m2,40
sing_fam_newbuild_3,Single Family Home,residential_intervention,New Build,Upgrade to Mid-Performance Based Standard,"Renovation with measures in addition to building code or other regional requirements, which may include

- Upgrading windows and doors to designs with better performance in heat insulation
- Improving insulation with materials meeting or surpassing the EcoLogo program standards.
- Replacing current appliances with either Energy Star Appliances or appliances rated within the top 33% of EnerGuide ratings for that category.
- Installing water-conserving fixtures.
- Installing a water heater with an energy factor exceeding 0.58",63.66,USD per m2,0.16,GJ per m2,40
sing_fam_newbuild_4,Single Family Home,residential_intervention,New Build,Upgrade to High-Performance Based Standard,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2",148.53,USD per m2,0.34,GJ per m2,40
sing_fam_newbuild_5,Single Family Home,residential_intervention,New Build,Upgrade to High-Performance Based Standard plus Heat Pump,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1",190.97,USD per m2,0.39,GJ per m2,40
sing_fam_newbuild_6,Single Family Home,residential_intervention,New Build,Net Zero Energy Building,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install solar pannels which are capable to support at least 3kWp load",235.53,USD per m2,0.45,GJ per m2,40
apart_newbuild_1,Apartment,residential_intervention,New Build,Efficient lightbulbs and appliances,"Procurement and installation of energy-efficient lighting fixtures and appliances is recommended. The suggested ratings for optimal efficiency are as follows:

- Ovens with an A rating.
- Wet appliances with an A+ rating.
- Cold appliances with an A++ rating.",18.37,USD per m2,0.26,GJ per m2,40
apart_newbuild_2,Apartment,residential_intervention,New Build,Heat Pump,Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1,25.13,USD per m2,-0.02,GJ per m2,40
apart_newbuild_3,Apartment,residential_intervention,New Build,Upgrade to Mid-Performance Based Standard,"Renovation with measures in addition to building code or other regional requirements, which may include

- Upgrading windows and doors to designs with better performance in heat insulation
- Improving insulation with materials meeting or surpassing the EcoLogo program standards.
- Replacing current appliances with either Energy Star Appliances or appliances rated within the top 33% of EnerGuide ratings for that category.
- Installing water-conserving fixtures.
- Installing a water heater with an energy factor exceeding 0.58",150.75,USD per m2,0.03,GJ per m2,40
apart_newbuild_4,Apartment,residential_intervention,New Build,Upgrade to High-Performance Based Standard,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2",50.25,USD per m2,0.38,GJ per m2,40
apart_newbuild_5,Apartment,residential_intervention,New Build,Upgrade to High-Performance Based Standard plus Heat Pump,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1",226.13,USD per m2,0.48,GJ per m2,40
apart_newbuild_6,Apartment,residential_intervention,New Build,Net Zero Energy Building,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install solar pannels which are capable to support at least 3kWp load",238.69,USD per m2,0.54,GJ per m2,40
town_newbuild_1,Townhouse,residential_intervention,New Build,Efficient lightbulbs and appliances,"
Procurement and installation of energy-efficient lighting fixtures and appliances is recommended. The suggested ratings for optimal efficiency are as follows:

- Ovens with an A rating.
- Wet appliances with an A+ rating.
- Cold appliances with an A++ rating.",18.37,USD per m2,0.27,GJ per m2,40
town_newbuild_2,Townhouse,residential_intervention,New Build,Heat Pump,Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1,74.04,USD per m2,0.11,GJ per m2,40
town_newbuild_3,Townhouse,residential_intervention,New Build,Upgrade to Mid-Performance Based Standard,"Renovation with measures in addition to building code or other regional requirements, which may include

- Upgrading windows and doors to designs with better performance in heat insulation
- Improving insulation with materials meeting or surpassing the EcoLogo program standards.
- Replacing current appliances with either Energy Star Appliances or appliances rated within the top 33% of EnerGuide ratings for that category.
- Installing water-conserving fixtures.
- Installing a water heater with an energy factor exceeding 0.58",22.27,USD per m2,0.11,GJ per m2,40
town_newbuild_4,Townhouse,residential_intervention,New Build,Upgrade to High-Performance Based Standard,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2",148.08,USD per m2,0.31,GJ per m2,40
town_newbuild_5,Townhouse,residential_intervention,New Build,Upgrade to High-Performance Based Standard plus Heat Pump,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1",190.38,USD per m2,0.37,GJ per m2,40
town_newbuild_6,Townhouse,residential_intervention,New Build,Net Zero Energy Building,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2

Install solar pannels which are capable to support at least 3kWp load",234.81,USD per m2,0.43,GJ per m2,40
sing_fam_newbuild_7,Single Family Home,residential_intervention,New Build,Efficient lightbulbs and appliances,"
Procurement and installation of energy-efficient lighting fixtures and appliances is recommended. The suggested ratings for optimal efficiency are as follows:

- Ovens with an A rating.
- Wet appliances with an A+ rating.
- Cold appliances with an A++ rating.",14,USD per m2,0.18,GJ per m2,20
sing_fam_newbuild_8,Single Family Home,residential_intervention,New Build,Heat Pump,Install a Heat Pump(s) with a Coefficient of Performance (COP) 3.1,42.44,USD per m2,0.12,GJ per m2,40
sing_fam_newbuild_9,Single Family Home,residential_intervention,New Build,Upgrade to Mid-Performance Based Standard,"Renovation with measures in addition to building code or other regional requirements, which may include

- Upgrading windows and doors to designs with better performance in heat insulation
- Improving insulation with materials meeting or surpassing the EcoLogo program standards.
- Replacing current appliances with either Energy Star Appliances or appliances rated within the top 33% of EnerGuide ratings for that category.
- Installing water-conserving fixtures.
- Installing a water heater with an energy factor exceeding 0.58",63.66,USD per m2,0.16,GJ per m2,40
sing_fam_newbuild_10,Single Family Home,residential_intervention,New Build,Upgrade to High-Performance Based Standard,"Retrofit the residence to achieve annually:
- heating load of <15 kWh/m^2 
- total primary energy consumption of <60 kWh/m^2",148.53,USD per m2,0.34,GJ per m2,40
