id,fuel_type,fuel_mode,state_or_province,country,co2e_2025,co2e_2026,co2e_2027,co2e_2028,co2e_2029,co2e_2030,co2e_2031,co2e_2032,co2e_2033,co2e_2034,co2e_2035,co2e_2036,co2e_2037,co2e_2038,co2e_2039,co2e_2040,emission_unit,energy_content,energy_content_unit,data_source
1,Electricity,stationary,Alaska,United States,0.3511,0.3143,0.2780,0.2480,0.2267,0.2115,0.2039,0.1985,0.1970,0.1930,0.1910,0.1892,0.1867,0.1841,0.1824,0.1814,Kg per kWh,0.0036,GJ per kWh,
2,Electricity,stationary,Alabama,United States,0.2711,0.2343,0.1980,0.1680,0.1467,0.1315,0.1239,0.1185,0.1170,0.1130,0.1110,0.1092,0.1067,0.1041,0.1024,0.1014,Kg per kWh,0.0036,GJ per kWh,
3,Electricity,stationary,Arkansas,United States,0.4311,0.3943,0.3580,0.3280,0.3067,0.2915,0.2839,0.2785,0.2770,0.2730,0.2710,0.2692,0.2667,0.2641,0.2624,0.2614,Kg per kWh,0.0036,GJ per kWh,
4,Electricity,stationary,Arizona,United States,0.2611,0.2243,0.1880,0.1580,0.1367,0.1215,0.1139,0.1085,0.1070,0.1030,0.1010,0.0992,0.0967,0.0941,0.0924,0.0914,Kg per kWh,0.0036,GJ per kWh,
5,Electricity,stationary,California,United States,0.1511,0.1143,0.0780,0.0480,0.0267,0.0115,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,Kg per kWh,0.0036,GJ per kWh,
6,Electricity,stationary,Colorado,United States,0.4911,0.4543,0.4180,0.3880,0.3667,0.3515,0.3439,0.3385,0.3370,0.3330,0.3310,0.3292,0.3267,0.3241,0.3224,0.3214,Kg per kWh,0.0036,GJ per kWh,
7,Electricity,stationary,Connecticut,United States,0.1711,0.1343,0.0980,0.0680,0.0467,0.0315,0.0239,0.0185,0.0170,0.0130,0.0110,0.0092,0.0067,0.0041,0.0024,0.0014,Kg per kWh,0.0036,GJ per kWh,
8,Electricity,stationary,Washington D.C,United States,0.2311,0.1943,0.1580,0.1280,0.1067,0.0915,0.0839,0.0785,0.0770,0.0730,0.0710,0.0692,0.0667,0.0641,0.0624,0.0614,Kg per kWh,0.0036,GJ per kWh,
9,Electricity,stationary,Delaware,United States,0.3211,0.2843,0.2480,0.2180,0.1967,0.1815,0.1739,0.1685,0.1670,0.1630,0.1610,0.1592,0.1567,0.1541,0.1524,0.1514,Kg per kWh,0.0036,GJ per kWh,
10,Electricity,stationary,Florida,United States,0.3111,0.2743,0.2380,0.2080,0.1867,0.1715,0.1639,0.1585,0.1570,0.1530,0.1510,0.1492,0.1467,0.1441,0.1424,0.1414,Kg per kWh,0.0036,GJ per kWh,
11,Electricity,stationary,Georgia,United States,0.2811,0.2443,0.2080,0.1780,0.1567,0.1415,0.1339,0.1285,0.1270,0.1230,0.1210,0.1192,0.1167,0.1141,0.1124,0.1114,Kg per kWh,0.0036,GJ per kWh,
12,Electricity,stationary,Hawaii,United States,0.6111,0.5743,0.5380,0.5080,0.4867,0.4715,0.4639,0.4585,0.4570,0.4530,0.4510,0.4492,0.4467,0.4441,0.4424,0.4414,Kg per kWh,0.0036,GJ per kWh,
13,Electricity,stationary,Iowa,United States,0.2811,0.2443,0.2080,0.1780,0.1567,0.1415,0.1339,0.1285,0.1270,0.1230,0.1210,0.1192,0.1167,0.1141,0.1124,0.1114,Kg per kWh,0.0036,GJ per kWh,
14,Electricity,stationary,Idaho,United States,0.0511,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,0.0143,Kg per kWh,0.0036,GJ per kWh,
15,Electricity,stationary,Illinois,United States,0.2311,0.1943,0.1580,0.1280,0.1067,0.0915,0.0839,0.0785,0.0770,0.0730,0.0710,0.0692,0.0667,0.0641,0.0624,0.0614,Kg per kWh,0.0036,GJ per kWh,
16,Electricity,stationary,Indiana,United States,0.6811,0.6443,0.6080,0.5780,0.5567,0.5415,0.5339,0.5285,0.5270,0.5230,0.5210,0.5192,0.5167,0.5141,0.5124,0.5114,Kg per kWh,0.0036,GJ per kWh,
17,Electricity,stationary,Kansas,United States,0.3111,0.2743,0.2380,0.2080,0.1867,0.1715,0.1639,0.1585,0.1570,0.1530,0.1510,0.1492,0.1467,0.1441,0.1424,0.1414,Kg per kWh,0.0036,GJ per kWh,
18,Electricity,stationary,Kentucky,United States,0.7211,0.6843,0.6480,0.6180,0.5967,0.5815,0.5739,0.5685,0.5670,0.5630,0.5610,0.5592,0.5567,0.5541,0.5524,0.5514,Kg per kWh,0.0036,GJ per kWh,
