program_id,focus_sectors,location,program_name,program_type,pogram_description,program_objectives,program_eligibility,funding,organizations,org_category,further_info,update_date
920,Commercial/Institutional,Ontario,Energy Management Program,"Awareness/Information,Energy Management and Monitoring,Retrofit",,"The objective of this program is to reduce utility costs of city-operated facilities by implementing energy management projects such as lighting changes and insulation as well as providing general education and support to City staff regarding energy.
",,,City of Kitchener,Municipal government,,2022-05-04 00:00:00.0
1018,"Commercial/Institutional,Industrial,Residential",Quebec,"Development and Technical Assistance Program, DATECH","Energy Management and Monitoring,Research and Development",,"This Program offers companies the best solutions and the most productive technological opportunities to improve their energy efficiency and performance. Services provided include: setting up an energy budget to assess available savings; research and assessment of the most productive gas technologies; feasibility study and assessment of a new installation.
",,,Énergir,Utility company,,2018-11-21 00:00:00.0
1058,Residential,Quebec,Rénoclimat,"Advice,Energy Star,Financial Incentive,Retrofit",,"This energy renovation program for owners of single family, semi-detached or row houses includes an energy audit conducted both before and after retrofit. The program also offers access to financial assistance for carrying out insulation work; carrying out work affecting a home's air tightness; and installing or replacing mechanical systems (ventilation system, water heater, ENERGY STAR<sup>®</sup> certified heat pump, geothermal heating system). Financial assistance ranges from $50 for the installation of a central programmable electronic thermostat to $5,365 for the installation of a complete geothermal system in replacement of a main heating system using fuel oil.<br><br>",,,"Gouvernement du Québec, Transition énergétique Québec",Provincial government,,2018-11-21 00:00:00.0
1067,"Commercial/Institutional,Industrial",Quebec,Condensing Boiler Grant,"Financial Incentive,Retrofit",,"This Program offers financial incentives towards the purchase of energy-efficient natural gas condensing boilers that help improve a building's energy performance. Ideal for Leadership in Energy and Environmental Design (LEED) projects, condensing boilers reuse part of the available latent heat energy, which makes them highly energy efficient. The Program offers a grant ranging from $900 to $25,000 towards the purchase of a high-efficiency boiler and $750 to $10,000 for a mid-efficiency unit.",,,Énergir,Utility company,,2022-05-04 00:00:00.0
1097,Commercial/Institutional,Ontario,Commercial Retrofit Program,"Energy Management and Monitoring,Energy Star,Financial Incentive,Retrofit",,"This Program offers commercial businesses one-time incentives of $0.20 per m<sup>3</sup> of natural gas saved, up to $100,000, on the implementation of any number of energy-saving measures. Eligible measures include higher efficiency boilers, higher efficiency combination water and space heating systems, better building controls, water conservation and efficient make-up air and ventilation (including ENERGY STAR certified models).",,,Enbridge Gas Inc.,Utility company,,2022-05-04 00:00:00.0
1102,"Commercial/Institutional,Industrial,Residential",Quebec,High-Efficiency Water Heater Grant,"Financial Incentive,Retrofit",,"This Program offers grants ranging from $750 to $20,000 towards the purchase of a condensing water heater (which reuses part of the available latent heat energy).<br><br>",,,Énergir,Utility company,,2022-05-04 00:00:00.0
1242,Industrial,Manitoba,EnerTrend<sup>TM</sup>,Energy Management and Monitoring,,"EnerTrend is an industry-leading, web-based energy profiling tool developed by Manitoba Hydro specifically for large industrial and commercial operations. It allows businesses to be proactive in controlling energy consumption, thus reducing costs. The energy profiles generated by EnerTrend illustrate how and when energy is being used - the important information needed to manage consumption, reduce peak demand and lower costs.
",,,Manitoba Hydro,Utility company,,2018-11-21 00:00:00.0
1334,"Commercial/Institutional,Industrial",Newfoundland and Labrador,takeCHARGE Commercial Product Rebates Program,"Awareness/Information,Financial Incentive,Rebate,Retrofit",,"This Program helps commercial businesses province-wide by offering rebates for ECM motors, occupancy sensors, rooftop air source heat pumps, LED lighting (e.g. exit signs, luminaires, pole lighting, wall packs), pre-rinse spray valves, and high performance showerheads.
",,,Newfoundland Power and Newfoundland and Labrador Hydro,Utility company,,2022-05-15 00:00:00.0
1380,Industrial,Canada,Canadian Industry Partnership for Energy Conservation (CIPEC),"Awareness/Information,Energy Management and Monitoring",,"The Canadian Industry Partnership for Energy Conservation (CIPEC) is a partnership between private industry and the federal Government that aims to promote and improve Canada's industrial energy efficiency and reduce greenhouse gas emissions from energy use in the industrial sector. It includes more than 1,400 companies and trade associations, encourages energy management best practices through dialogue and collaboration via an Executive Board, Task Force Council and sector task forces and recognizes and rewards those who lead the way. 
Industry Officers provide support to CIPEC Leader companies and work with CIPEC task forces to organize meetings, benchmark energy intensity in various sectors, develop energy efficiency guidebooks and deliver workshops.",,,"Natural Resources Canada (NRCan), Office of Energy Efficiency (OEE)",Federal government,,2018-11-21 00:00:00.0
1395,Commercial/Institutional,Saskatchewan,Energy Conservation for Non-Profit Organizations,"Awareness/Information,Energy Management and Monitoring,Training/Technical Assistance",,"Affinity Credit Union and the Saskatchewan Environmental Society have been working together since 2000 to make it easier for non-profit organizations to reduce their utility expenditures through energy conservation. To date, assessments have been conducted for 90 buildings. The assessments have identified potential savings averaging 20%. Program benefits include: <ul>
<li>Non-profit organizations can get control of their energy costs (electricity, gas and water) and reduce their energy consumption;</li>
<li>Increased energy efficiency has a positive financial impact for many years;</li>
<li>Current technology can reduce utility costs in buildings by 10% to 30%.</li></ul>",,,Saskatchewan Environmental Society,Other organization,,2018-11-21 00:00:00.0
