intervention_id,intervention_category,intervention_subcategory,vehicle_category,vehicle_subcategory,fuel_type,vehicle_manufacturer,vehicle_production_year,fuel_efficiency_unit,fuel_efficiency,capital_cost_unit,capital_cost,lifespan,annual_maintenance_unit,annual_maintenance,depreciation_factor
ag_equip_fuelswitch_1,transport_intervention,Fuel Switch,Agricultural Equipment,Agricultural Equipment,Diesel,Others,0,km per L,3.74,USD,352500,20,USD,7755,0.15
ag_equip_fuelswitch_2,transport_intervention,Fuel Switch,Agricultural Equipment,Agricultural Equipment,Motor Gasoline,Others,0,km per L,3.74,USD,352500,20,USD,7755,0.15
aircraft_fuelswitch_1,transport_intervention,Fuel Switch,Aircrafts,Aircrafts,Aviation Gasoline,Others,0,km per L,1.7,USD,3750000,20,USD,75000,0.15
aircraft_fuelswitch_2,transport_intervention,Fuel Switch,Aircrafts,Aircrafts,Kerosene-Type Jet Fuel,Others,0,km per L,0.85,USD,3750000,20,USD,75000,0.15
heavy_duty_fuelswitch_1,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Biodiesel (100%),Others,0,km per L,2.41,USD,150000,10,USD,7500,0.15
heavy_duty_fuelswitch_2,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Biodiesel (20%),Others,0,km per L,2.41,USD,90000,10,USD,7500,0.15
heavy_duty_fuelswitch_3,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Compressed Natural Gas (CNG),Others,0,km per m3,0.2,USD,65460,10,USD,2625,0.2
heavy_duty_fuelswitch_4,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Diesel,Others,0,km per L,2.55,USD,112500,10,USD,1500,0.15
heavy_duty_fuelswitch_5,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Electricity,Others,0,km per kWh,0.266,USD,324700,10,USD,2625,0.1386
heavy_duty_fuelswitch_6,transport_intervention,Fuel Switch,Heavy Duty,Heavy Duty,Ethanol (85%),Others,0,km per L,1.66,USD,112500,10,USD,7500,0.15
