intervention_id,tru_type,model_year,tru_power_rating,tru_power_rating_unit,average_load_factor,tru_annual_hours,tru_plug_in_fraction_of_hours,average_tru_capital_cost,average_yard_plug_infra_cost,average_dock_plug_infra_cost,diesel_tru_maint_cost_per_hour,etru_maint_cost_savings_vs_diesel,co2e_per_kwh_diesel_tru
switch_to_etru_1,Trailer TRU < 25 hp,0,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,4.26265
switch_to_etru_2,Trailer TRU < 25 hp,1999,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,4.26265
switch_to_etru_3,Trailer TRU < 25 hp,2000,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.9381
switch_to_etru_4,Trailer TRU < 25 hp,2001,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.9381
switch_to_etru_5,Trailer TRU < 25 hp,2002,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.77254
switch_to_etru_6,Trailer TRU < 25 hp,2003,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.77254
switch_to_etru_7,Trailer TRU < 25 hp,2004,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.77254
switch_to_etru_8,Trailer TRU < 25 hp,2005,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.58154
switch_to_etru_9,Trailer TRU < 25 hp,2006,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.58154
switch_to_etru_10,Trailer TRU < 25 hp,2007,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.58154
switch_to_etru_11,Trailer TRU < 25 hp,2008,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.4173
switch_to_etru_12,Trailer TRU < 25 hp,2009,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.4173
switch_to_etru_13,Trailer TRU < 25 hp,2010,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.4173
switch_to_etru_14,Trailer TRU < 25 hp,2011,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.30893
switch_to_etru_15,Trailer TRU < 25 hp,2012,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.30987
switch_to_etru_16,Trailer TRU < 25 hp,2013,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.33843
switch_to_etru_17,Trailer TRU < 25 hp,2014,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.31304
switch_to_etru_18,Trailer TRU < 25 hp,2015,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29951
switch_to_etru_19,Trailer TRU < 25 hp,2016,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29951
switch_to_etru_20,Trailer TRU < 25 hp,2017,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29951
switch_to_etru_21,Trailer TRU < 25 hp,2018,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29858
switch_to_etru_22,Trailer TRU < 25 hp,2019,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29582
switch_to_etru_23,Trailer TRU < 25 hp,2020,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.29306
switch_to_etru_24,Trailer TRU < 25 hp,2021,25.4794,kW,0.51,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.2903
switch_to_etru_25,Trailer TRU > 25 hp,0,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,3.63261
switch_to_etru_26,Trailer TRU > 25 hp,1999,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.90247
switch_to_etru_27,Trailer TRU > 25 hp,2000,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.90247
switch_to_etru_28,Trailer TRU > 25 hp,2001,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.81435
switch_to_etru_29,Trailer TRU > 25 hp,2002,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.81435
switch_to_etru_30,Trailer TRU > 25 hp,2003,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.81435
switch_to_etru_31,Trailer TRU > 25 hp,2004,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.69862
switch_to_etru_32,Trailer TRU > 25 hp,2005,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.69862
switch_to_etru_33,Trailer TRU > 25 hp,2006,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.69862
switch_to_etru_34,Trailer TRU > 25 hp,2007,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.69862
switch_to_etru_35,Trailer TRU > 25 hp,2008,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36425
switch_to_etru_36,Trailer TRU > 25 hp,2009,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36425
switch_to_etru_37,Trailer TRU > 25 hp,2010,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36425
switch_to_etru_38,Trailer TRU > 25 hp,2011,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36425
switch_to_etru_39,Trailer TRU > 25 hp,2012,40.2307,kW,0.46,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36425
switch_to_etru_40,Trailer TRU > 25 hp,2013,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.36155
switch_to_etru_41,Trailer TRU > 25 hp,2014,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,2.00413
switch_to_etru_42,Trailer TRU > 25 hp,2015,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.86835
switch_to_etru_43,Trailer TRU > 25 hp,2016,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.84535
switch_to_etru_44,Trailer TRU > 25 hp,2017,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.80512
switch_to_etru_45,Trailer TRU > 25 hp,2018,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.8045
switch_to_etru_46,Trailer TRU > 25 hp,2019,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.80264
switch_to_etru_47,Trailer TRU > 25 hp,2020,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.80079
switch_to_etru_48,Trailer TRU > 25 hp,2021,40.2307,kW,0.38,2201,0.53,4561.84,9140.4,7818.9,0.72,-0.3,1.79893
switch_to_etru_49,Truck TRU,0,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,4.37996
switch_to_etru_50,Truck TRU,2000,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,3.01074
switch_to_etru_51,Truck TRU,2001,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,3.01074
switch_to_etru_52,Truck TRU,2002,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.83959
switch_to_etru_53,Truck TRU,2003,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.83959
switch_to_etru_54,Truck TRU,2004,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.83959
switch_to_etru_55,Truck TRU,2005,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.57074
switch_to_etru_56,Truck TRU,2006,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.57074
switch_to_etru_57,Truck TRU,2007,16.0923,kW,0.56,1360,0.5,601.33,5553,4221,0.2,-0.3,2.57074
